,Name,Nganh,Dia Chi,Phone,Province
113,Dịch Vụ Cho Thuê  Xe Tại Long Xuyên,Cho Thuê Xe Du Lịch," 8 Trần Bình Trọng, Mỹ Xuyên, Long Xuyên, An Giang, Việt Nam",0918375120,An Giang
114,Công Ty TNHH Du Lịch & Vận Chuyển Những Người Bạn Quốc Tế,Cho Thuê Xe Du Lịch," 48 Dương Bá Trạc, P. Hòa Cường Nam, Q. Hải Châu, Tp. Đà Nẵng, Việt Nam",(0236) 3509965,Đà Nẵng
115,Công ty TNHH Dịch Vụ Thường Mại Và Sản Xuất Đức Phúc,Cho Thuê Xe Du Lịch," Đường Võ Cường 17, KĐT HUD, P. Võ Cường, TP. Bắc Ninh, Bắc Ninh, Việt Nam",0982098850,Bắc Ninh
116,Công Ty CP TM DV Vận Chuyển Hanoitrans,Cho Thuê Xe Du Lịch," 25/154 Việt Hưng, P. Việt Hưng, Q. Long Biên Hà Nội, Việt Nam",(024) 38779977,Hà Nội
117,Công Ty CP Phú Mỹ Phát,Cho Thuê Xe Du Lịch," 495 Nguyễn Hữu Thọ, Q. Hải Châu, Tp. Đà Nẵng, Việt Nam",0905627627 -  0977 627 627,Đà Nẵng
118,Công Ty TNHH Nhà Nước Một Thành Viên Du Lịch Công Đoàn Hà Nội,Cho Thuê Xe Du Lịch," 98 Tô Ngọc Vân, P. Quảng An, Q. Tây Hồ, Hà Nội, Việt Nam",(024) 37192197,Hà Nội
119,Dịch Vụ Du Lịch Đất Việt,Cho Thuê Xe Du Lịch," 59/1 Trần Phú, P. 4, Q. 5, Tp. Hồ Chí Minh, Việt Nam",(028) 38355299,Hồ Chí Minh
120,Công Ty TNHH Thương Mại Và Dịch Vụ Du Lịch Hà Trang,Cho Thuê Xe Du Lịch," 194 Ngô Gia Tự, Tp. Nha Trang, Khánh Hòa, Việt Nam",0914 217 219,Khánh Hòa
121,Công Ty Cổ Phần Tập Đoàn Liên Kết Hùng Vương,Cho Thuê Xe Du Lịch," Tổ 44, Khu 5, Phường Nông Trang, Thành Phố Việt Trì, Phú Thọ, Việt Nam",(0210) 3898555,Phú Thọ
122,Công Ty TNHH TM DV Vận Tải Du Lịch Tất Thành Đạt,Cho Thuê Xe Du Lịch," Số 25/B1, Đường Trung Mỹ Tây 2A, KP. 2, P. Trung Mỹ Tây, Q. 12, Tp. Hồ Chí Minh, Việt Nam",(028) 62522646,Hồ Chí Minh
123,Công Ty TNHH Đầu Tư Dịch Vụ Vận Tải Và Du Lịch Net Việt,Cho Thuê Xe Du Lịch," 467 Đ. Nguyễn Trãi, Q.Thanh Xuân Hà Nội, Việt Nam",0916 708 483,Hà Nội
124,Công Ty TNHH Du Lịch Và Vận Tải Asia Limousine,Cho Thuê Xe Du Lịch," Số 9 Ngõ 31, Phố Đồng Nhân , Phường Đồng Nhân, Quận Hai Bà Trưng Hà Nội, Việt Nam",0981481571,Hà Nội
125,Công Ty TNHH Vận Tải Du Lịch Và Thương Mại Vũ Khoa,Cho Thuê Xe Du Lịch," Lô 14 Lê Hữu Khánh, P. Khuê Mỹ, Q. Ngũ Hành Sơn, Tp. Đà Nẵng, Việt Nam",(0236) 3552768,Đà Nẵng
126,Du Lịch Gia Cát Bảo,Cho Thuê Xe Du Lịch," Block B3 Chung Cư Him Lam Chợ Lớn, Đường Hậu Giang, Phường 11, Quận 6 Tp. Hồ Chí Minh, Việt Nam",0815539906,Hậu Giang
127,Công Ty Cổ Phần Giao Nhận & Vận Chuyển Indo Trần,Cho Thuê Xe Du Lịch," 52 Trường Sơn, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",(028) 38488567,Hồ Chí Minh
128,Công Ty TNHH Thương Mại Dịch Vụ Du Lịch An Thái,Cho Thuê Xe Du Lịch," TOJI Office Building, 384-1C Nam Kỳ Khởi Nghĩa, P. 8, Q. 3, Tp. Hồ Chí Minh, Việt Nam",(028) 35265226 -  Hotline  0944 810 811,Hồ Chí Minh
129,Công Ty TNHH TM Và Du Lịch Lets Fly Travel,Cho Thuê Xe Du Lịch," 172/14/4 Bạch Đằng, Tp. Nha Trang, Khánh Hòa, Việt Nam",1900636332,Khánh Hòa
130,Công Ty Cổ Phần Du L&#7883ch Việt Á,Cho Thuê Xe Du Lịch," Số 20/1 Nguyễn Trường Tộ, P. 12, Q. 4, Tp. Hồ Chí Minh, Việt Nam",(028) 54046794,Hồ Chí Minh
131,Công Ty TNHH MTV Dịch Vụ Du Lịch Cơn Bão Việt,Cho Thuê Xe Du Lịch," 131 Tây Thạnh, P. Tây Thạnh, Q. Tân Phú, Tp. Hồ Chí Minh, Việt Nam",(028) 36027684,Hồ Chí Minh
132,Hợp Tác Xã Mỹ Nghệ Vận Tải Du Lịch Kỳ Long,Cho Thuê Xe Du Lịch," 302 Nhật Tảo, P. 8, Q. 10, Tp. Hồ Chí Minh, Việt Nam",(028) 39571006,Hồ Chí Minh
133,Công Ty Cổ Phần Thương Mại Dịch Vụ Vận Chuyển HaNoiTrans,Cho Thuê Xe Du Lịch,"  Tổ 1, Ấp Tân Tiến, X. Châu Pha, TX. Phú Mỹ, Bà Rịa-Vũng Tàu, Việt Nam",0989 619 095,Bà Rịa-Vũng Tàu
134,Công Ty TNHH Dịch Vụ Du Lịch Tuấn Dung,Cho Thuê Xe Du Lịch," Phòng 503, Tòa Nhà 147 Nguyễn Văn Cừ, P. Ngọc Lâm, Q. Long Biên, Hà Nội, Việt Nam",(024) 38779977,Hà Nội
135,Công Ty TNHH Chuyển Phát Nhanh á Đông,Cho Thuê Xe Du Lịch ," 458 Trần Cao Vân, Q. Thanh Khê, Tp. Đà Nẵng, Việt Nam",(0236) 3710007,Đà Nẵng
136,Cho Thuê Xe Mai Thuận,Cho Thuê Xe Du Lịch," 204 - 206 Nguyễn Tất Thành, P. 13, Q. 4 Tp. Hồ Chí Minh, Việt Nam",0918222241,Hồ Chí Minh
137,Công Ty CP Thương Mại & Du Lịch Điểm Hẹn,Cho Thuê Xe Du Lịch," 137 Hàng Bạc, Q. Hoàn Kiếm, Hà Nội, Việt Nam",(024) 39935766,Hà Nội
138,Công Ty TNHH Vận Tải Và Du Lịch Hải Nam,Cho Thuê Xe Du Lịch," Số 39, Ngách 74/10 Tổ 10, Đường Thượng Thanh, P. Thượng Thanh, Q. Long Biên, Hà Nội, Việt Nam",(024) 38772360,Hà Nội
139,Nam Long Tourist,Cho Thuê Xe Du Lịch," số 29 Đoàn Trần Nghiệp P. Vĩnh Phúc TP. Nha Trang Khánh Hòa, Việt Nam",(0258) 3540055 -  Hotline: 0914.024.390,Vĩnh Phúc
140,Công Ty TNHH Du Lịch & Vận Tải Đinh Vy Vân,Cho Thuê Xe Du Lịch," E2, KQH. Hoàng Diệu, P. 5, Tp. Đà Lạt, Lâm Đồng, Việt Nam",(0263) 3900792,Lâm Đồng
141,Công Ty TNHH Việt Đoàn,Cho Thuê Xe Du Lịch," 499/3 Đường Hoàng Sa P. Võ Thị Sáu Q. 3 Tp. Hồ Chí Minh, Việt Nam",Hotline: 0938031274,Hồ Chí Minh
142,Công Ty Cổ Phần Truyền Thông Sự Kiện Du Lịch Phú Dũng,Cho Thuê Xe Du Lịch," Số Nhà 11, Tổ 15, Ngõ 199, Đường Cầu Diễn, P. Phúc Diễn Hà Nội, Việt Nam",(024) 35146929,Hà Nội
143,Công Ty TNHH Du Lịch Lữ Hành Thắng Lợi,Cho Thuê Xe Du Lịch," 778/15 Nguyễn Kiệm, P. 4, Q. Phú Nhuận, Tp. Hồ Chí Minh, Việt Nam",(028) 39976839,Hồ Chí Minh
144,Công Ty TNHH Dịch Vụ Du Lịch Quốc Tế Hoa Đăng,Cho Thuê Xe Du Lịch," 59 - 61 Nguyễn Trường Tộ, P. 12, Q. 4, Tp. Hồ Chí Minh, Việt Nam",(028) 38265689,Hồ Chí Minh
145,Công Ty TNHH Du Lịch Minh Thế Đà Lạt,Cho Thuê Xe Du Lịch," Số 42 Nguyễn văn Cừ, Thị Trấn Liên nghĩa, H. Đức Trọng, Lâm Đồng, Việt Nam",0967465778,Lâm Đồng
146,Dịch Vụ Cho Thuê Xe Hơi Tại Sài Gòn,Cho Thuê Xe Du Lịch," 410 Nguyễn Thái Sơn, P. 5, Q Gò Vấp, Tp. Hồ Chí Minh, Việt Nam",(028) 62506075,Hồ Chí Minh
147,Công Ty Du Lịch Nam Long (Nam Long Tourist),Cho Thuê Xe Du Lịch," 29 Đoàn Trần Nghiệp, P.Vĩnh Phước, TP.Nha Trang, Khánh Hòa, Việt Nam",(0258) 3540055 - (0258)  370681 -  0914024390,Khánh Hòa
148,Công Ty TNHH Đầu Tư Dịch Vụ Xe Thành Phố,Cho Thuê Xe Du Lịch," 360A Bến Vân Đồn, P.1, Q. 4, Tp. Hồ Chí Minh, Việt Nam",(028) 39450671,Hồ Chí Minh
149,Công Ty TNHH TM Hoàng Châu,Cho Thuê Xe Du Lịch," 6&58/176 Nguyễn Sơn, P. Bồ Đề, Q. Long Biên, Hà Nội, Việt Nam",(024) 38730500,Hà Nội
150,Công ty TNHH Nguyễn Hoàng – Văn Phòng Du Lịch Tre Việt,Cho Thuê Xe Du Lịch," 168 Nguyễn Tất Thành, Liên Bảo, Vĩnh Yên, Vĩnh Phúc, Việt Nam",0979451168,Vĩnh Phúc
151,Công Ty Cổ Phần Đầu Tư Liên Doanh Quốc Tế AMI,Cho Thuê Xe Du Lịch," Tầng 4, số 7A Mạc Thị Bưởi, Q.Hai Bà Trưng, Hà Nội Hà Nội, Việt Nam",(024) 39876839,Hà Nội
152,Công Ty TNHH Hưng Hưng Thịnh,Cho Thuê Xe Du Lịch," 14 Đường 11, Cư Xá Đài Ra Đa, P. 13, Q. 6, Tp. Hồ Chí Minh, Việt Nam",(028) 22421188,Hồ Chí Minh
153,Công Ty Cổ Phần ánh Dương Việt Nam,Cho Thuê Xe Du Lịch," 20 Nguyễn An Ninh, P. Bến Thành, Q. 1, Tp. Hồ Chí Minh, Việt Nam",(028) 38235239,Hồ Chí Minh
154,Công ty TNHH Vũ Hùng Phát,Cho Thuê Xe Du Lịch," Số 191, Ngõ 46, Đường Nguyễn Trãi, P Thượng Đình, Q Thanh Xuân, Hà Nội, Việt Nam",(024) 32808080,Hà Nội
155,Công Ty Cổ Phần Du Lịch Thương Mại Quốc Tế Năm Châu,Cho Thuê Xe Du Lịch," Số nhà 07 TT18, KĐT Văn Phú, Q. Hà Đông, Hà Nội, Việt Nam",(024) 62620283,Hà Nội
156,Công Ty TNHH TM DV Du Lịch Nắng Phương Nam,Cho Thuê Xe Du Lịch," Số 208, Đường 19/5B, P. Tây Thạnh, Q. Tân Phú, Tp. Hồ Chí Minh, Việt Nam",(028) 38161072,Hồ Chí Minh
157,Nhà Xe Anh Kỳ,Cho Thuê Xe Du Lịch," Số 100 Lê Văn Hữu, Tổ 21A, Khu vực 5, P. Hải Cảng, Tp. Quy Nhơn, Bình Định, Việt Nam",0906509799,Bình Định
158,Công Ty TNHH Tư Vấn Thương Mại Du Lịch Cảnh Việt,Cho Thuê Xe Du Lịch," 216 Nguyễn Hồng Đào, P14, Q Tân Bình, Tp. Hồ Chí Minh, Việt Nam",0909424909,Hồ Chí Minh
159,Công Ty TNHH Dịch Vụ Du Lịch Tín Việt,Cho Thuê Xe Du Lịch," 36/20B Đường Số 4, KP6, P. Hiệp Bình Phước, Quận Thủ Đức, Tp. Hồ Chí Minh, Việt Nam",(028) 35533861,Bình Phước
160,Công Ty TNHH Vận Tải Và Thương Mại Thiên Thanh,Cho Thuê Xe Du Lịch," 517 Đường Ngô Gia Tự, P. Đức Giang, Q. Long Biên, Hà Nội, Việt Nam",(024) 22172662,Hà Nội
161,Công Ty TNHH ATGIS,Cho Thuê Xe Du Lịch," 454/30 Tây Sơn, P. Quang Trung, TP. Quy Nhơn, Bình Định, Việt Nam",0908583639,Bình Định
162,Công TyTNHH Thương Mại Dịch Vụ Vận Tải Du Lịch Vạn Ngân,Cho Thuê Xe Du Lịch," Tầng 2, 246 Phan Bội Châu, TP. Quy Nhơn, Bình Định, Việt Nam",(0256) 3828828,Bình Định
163,Công Ty TNHH Thương Mại Và Dịch Vụ Kha Trần,Cho Thuê Xe Du Lịch," F50 Đường Số 6 An Cựu City, P. An Đông, Tp. Huế, Thừa Thiên Huế, Việt Nam",0376706789,Thừa Thiên Huế
164,Công Ty TNHH Du Lịch Lữ Hành Đất Vàng Phương Nam,Cho Thuê Xe Du Lịch," Số 20, Hẻm 10,  ấp Thị Trấn A1, Khu 3, TT. Hòa Bình, H. Hòa Bình, Bạc Liêu, Việt Nam",(0291) 3880944,Hòa Bình
165,Công Ty TNHH Vận Tải Huệ Nghĩa,Cho Thuê Xe Du Lịch," VP: Số 11 Lê Đại Hành, Q. 11, Hồ Chí Minh, Việt Nam",(08) 39553353,Hồ Chí Minh
166,Công Ty TNHH Thương Mại Dịch Vụ Du Lịch Thái Hà,Cho Thuê Xe Du Lịch," Số 50, Bàu Cát 8, P. 11, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",09144440403,Hồ Chí Minh
167,Dịch Vụ Cho Thuê Xe Du Lịch Hà My,Cho Thuê Xe Du Lịch," 516 Đ. TCH 21, P. Tân Chánh Hiệp, Q. 12, Tp. Hồ Chí Minh, Việt Nam",0909682458,Hồ Chí Minh
168,Công Ty TNHH Thương Mại Và DV Du Lịch MP,Cho Thuê Xe Du Lịch," 70 Phạm Ngọc Thạch, P. 6, Q. 3, Tp. Hồ Chí Minh, Việt Nam",0909335385,Hồ Chí Minh
169,Công Ty TNHH MTV Thương Mại Dịch Vụ Vận Tải Khang Tường,Cho Thuê Xe Du Lịch," TP. Thủ Dầu Một, Bình Dương, Việt Nam",0915979878,Bình Dương
170,Doanh Nghiệp Tư Nhân Vận Tải Hải Nguyên,Cho Thuê Xe Du Lịch," Số 53 Huỳnh Thúc Kháng, Tp. Quy Nhơn, Bình Định, Việt Nam",0905961447,Bình Định
171,Công Ty TNHH Xây Dựng Thương Mại á Châu,Cho Thuê Xe Du Lịch," 791 Tạ Quang Bửu, P. 5, Q. 8, Tp. Hồ Chí Minh, Việt Nam",(08) 38569865,Hồ Chí Minh
172,Công Ty TNHH Du Lịch Việt Du,Cho Thuê Xe Du Lịch," 52/2 út Tịch, P. 4, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",(028) 36029711,Hồ Chí Minh
173,Công Ty Cho Thuê Xe Du Lịch Tấn An Gia,Cho Thuê Xe Du Lịch," 28/6 Lương Thế Vinh ,P.Tân Thới Hòa, Q.Tân Phú, Tp. Hồ Chí Minh, Việt Nam",0906677728,Hồ Chí Minh
174,Công Ty CP én Việt,Cho Thuê Xe Du Lịch," 16B Đường Sông Đà, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",(028) 73005050,Hồ Chí Minh
175,Công Ty  Du Lịch Thương Mại Quốc Tế Đại Lục,Cho Thuê Xe Du Lịch," 49A, Đường 17, P.Long Thành Mỹ, Q.9, Tp. Hồ Chí Minh, Việt Nam",(028) 37331306,Hồ Chí Minh
176,Công Ty TNHH Mỹ Thuật Và Tin Học Đức Anh,Cho Thuê Xe Du Lịch," Khu Sinh Thái Đồng Trúc, Thạch Thất, Hà Nội31 Cầu Giấy, Q. Cầu Giấy, Hà Nội, Việt Nam",(024) 33595732,Hà Nội
177,Công Ty TNHH Vận Tải Du Lịch Minh Hoàng,Cho Thuê Xe Du Lịch," Số 10, P. Đông Hải, TP. Đồng Hới, Quảng Bình, Việt Nam",(0232) 3856568,Quảng Bình
178,Công Ty TNHH Thương Mại Dịch Vụ Địa ốc Và Du Lịch Đại Dương,Cho Thuê Xe Du Lịch," 72/711A Nguyễn Văn Nghi, P. 7, Q. Gò Vấp, Tp. Hồ Chí Minh, Việt Nam",(028) 62565612,Hồ Chí Minh
179,Công Ty TNHH MTV TM Và DV Du Lịch Thanh Bình,Cho Thuê Xe Du Lịch," 1207/55-57 Phú Riềng Đỏ, P.Tân Phú, TX. Đồng Xoài, Bình Phước, Việt Nam",(0271) 3866579,Bình Phước
180,Công Ty TNHH Sao Viettourist,Cho Thuê Xe Du Lịch," Số 7, Đường Số 14, KĐT Mới Him Lam, P. Tân Hưng, Q. 7, Tp. Hồ Chí Minh, Việt Nam",0888062069,Hồ Chí Minh
181,Công Ty TNHH Một Thành Viên Du Lịch Phương Anh,Cho Thuê Xe Du Lịch," 24/4A Hùng Vương, Tp. Nha Trang, Khánh Hòa, Việt Nam",(0258) 3501180,Khánh Hòa
182,Công Ty TNHH Dịch Vụ Du Lịch Thương Mại & Vận Tải Đa Bảo,Cho Thuê Xe Du Lịch," K288 Hùng Vương, Q. Hải Châu, Tp. Đà Nẵng, Việt Nam",(0236) 3751328,Đà Nẵng
183,Công Ty TNHH Thương Mại Du Lịch Hưng Quyên,Cho Thuê Xe Du Lịch," 16 Vũ Trọng Hoàng, Q. Cẩm Lệ, Tp. Đà Nẵng, Việt Nam",(0236) 3661955,Đà Nẵng
184,Công Ty TNHH Nhà Đất Nghệ An,Cho Thuê Xe Du Lịch," 114 Trần Phú, Tp. Vinh, Nghệ An, Việt Nam",(0238) 3593333,Nghệ An
185,Công Ty TNHH Dịch Vụ Du Lịch Nam Sài Gòn,Cho Thuê Xe Du Lịch," Số 48, Đường Phú Thuận, P. Phú Thuận, Q. 7, Tp. Hồ Chí Minh, Việt Nam",0907598168,Hồ Chí Minh
186,Công Ty TNHH Dịch Vụ Vận Tải An Phúc,Cho Thuê Xe Du Lịch," 460 Nguyễn Tất Thành, P. 18, Q. 4, Tp. Hồ Chí Minh, Việt Nam",(028) 39404730,Hồ Chí Minh
187,Công Ty TNHH MTV Du Lịch Thái Dương,Cho Thuê Xe Du Lịch," 302 Cộng Hòa, P. 13, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",19009227,Hồ Chí Minh
188,Công Ty TNHH MTV Hoàng Gia Châu,Cho Thuê Xe Du Lịch," 104 Thích Quảng Đức, P. 5, Q. Phú Nhuận, Tp. Hồ Chí Minh, Việt Nam",39953017,Hồ Chí Minh
189,Công Ty Du Lịch Hội An,Cho Thuê Xe Du Lịch," 10 Huỳnh Lý, Hội An, Quảng Nam, Việt Nam",0935753336,Quảng Nam
190,Công Ty TNHH MTV Thương Mại Dịch Vụ Du Lịch Hạ Linh,Cho Thuê Xe Du Lịch," 324, Cách Mạng Tháng Tám, P. Bùi Hữu Nghĩa, Q. Bình Thuỷ, TP. Cần Thơ, Việt Nam",0949358585,Cần Thơ
191,Du Lịch Quốc Tế Kết Nối Việt,Cho Thuê Xe Du Lịch," Số 91 Xã Đàn 2, Nam Đồng, Đống Đa, Hà Nội, Việt Nam",(024) 35766177,Hà Nội
192,Công Ty TNHH Dịch Vụ Minh Việt,Cho Thuê Xe Du Lịch," 50 Hàng Chuối, P. Phạm Đình Hổ, Q. Hai Bà Trưng, Hà Nội, Việt Nam",(024) 39716697,Hà Nội
193,Công Ty TNHH MTV Vận Tải Du Lịch Tân Thuận Phát,Cho Thuê Xe Du Lịch," 9/12A Đặng Văn Bi, KP. 6, P. Trường Thọ, Q. Thủ Đức, Tp. Hồ Chí Minh, Việt Nam",0982332277,Hồ Chí Minh
194,Công Ty Cổ Phần Du Lịch Đông Hà Travel,Cho Thuê Xe Du Lịch," Số 16/1 Nguyễn Cảnh Chân, P. Đông Lễ, TP. Đông Hà, Quảng Trị, Việt Nam",(0233) 3705588,Quảng Trị
195,QUALITY TRAVEL,Cho Thuê Xe Du Lịch," Số 58 Hàng Bạc, P. Hàng Bạc, Q. Hoàn Kiếm, Hà Nội, Việt Nam",(024) 36367577,Hà Nội
196,Công ty TNHH Kết Nối Taxi Nội Bài,Cho Thuê Xe Du Lịch," Phòng 1096, Tầng 10, Tòa Nhà Vân Nam, Số 26 Đường Láng, Q. Đống Đa, Hà Nội, Việt Nam",(024) 35729666,Hà Nội
197,Công Ty TNHH Du Lịch Đông A,Cho Thuê Xe Du Lịch," Số 8 Ngõ 91/45 Nguyễn Chí Thanh, Q. Đống Đa, Hà Nội, Việt Nam",(024) 23229986,Hà Nội
198,Công Ty Cổ Phần Đầu Tư Và Du Lịch Vận Tải Tây Đô,Cho Thuê Xe Du Lịch," Số 4, Lô 1, KDT Đền Lừ II, P. Hoàng Văn Thụ, Q. Hoàng Mai, Hà Nội, Việt Nam",(024) 3656565,Hà Nội
199,Công Ty Cổ Phần Du Lịch Mặt Trời Buổi Sáng,Cho Thuê Xe Du Lịch," 404 Hoàng Diệu, P. 5, Q. 4, Tp. Hồ Chí Minh, Việt Nam",(028) 39433734,Hồ Chí Minh
200,Công Ty TNHH TM Và DV Du Lịch Chín Hành Tinh,Cho Thuê Xe Du Lịch," 392/8/41, Cao Thắng, P. 12, Q. 10, Tp. Hồ Chí Minh, Việt Nam",(08) 22537075,Hồ Chí Minh
201,Công Ty TNHH Thương Mại & Du Lịch Đất Việt,Cho Thuê Xe Du Lịch," 45 Hàng Điếu, Q. Hoàn Kiếm, Hà Nội, Việt Nam",(024) 39230750,Hà Nội
202,Công Ty CP Du Lịch Quảng Trị Chi Nhánh Huế,Cho Thuê Xe Du Lịch," 17 Nguyễn Công Trứ, Tp. Huế, Thừa Thiên Huế, Việt Nam",(0234) 3944944,Thừa Thiên Huế
203,Công Ty TNHH Thương Mại Và Du Lịch Thiên Trang,Cho Thuê Xe Du Lịch," Số 34, Phố Hòa Đình, P. Võ Cường, Bắc Ninh, Việt Nam",(0222) 3828287,Bắc Ninh
204,Công Ty TNHH MTV Vận Tải Và Du lịch JAC,Cho Thuê Xe Du Lịch," 18/464 , Đường Âu Cơ, Quận Tây Hồ, Hà Nội, Việt Nam",0388308598,Hà Nội
205,Công Ty CP DV Và Lữ Hành Quốc Tế Saigon Tourism,Cho Thuê Xe Du Lịch," Số 11A, đường Nguyễn Bính, khu đô thị Bách Việt Lake Garden, phường Dĩnh Kế, TP. Bắc Giang, Bắc Giang, Việt Nam",0355599996,Bắc Giang
206,Công Ty TNHH Thương Mại Và Du Lịch Quốc Nghệ,Cho Thuê Xe Du Lịch," 15/3 Trần Hưng Đạo, P. Nguyễn Thái Bình, Q. 1, Tp. Hồ Chí Minh, Việt Nam",(028) 38248902,Thái Bình
207,Công Ty TNHH Du Lịch Riêng Á Châu,Cho Thuê Xe Du Lịch," 23 Ngõ 151 Nguyễn Đức Cảnh, Q. Hoàng Mai, Hà Nội, Việt Nam",(024) 36628515,Hà Nội
208,Công Ty Cổ Phần Thương Mại Và Dịch Vụ Du Lịch Mặt Trời Việt,Cho Thuê Xe Du Lịch," 358 Gỉai Phóng, Thanh Liệt, Thanh Xuân, Hà Nội, Việt Nam",(024) 33502270 -  0982 666 316,Hà Nội
209,Công Ty Cho Thuê Xe Ngân Sách Việt Nam,Cho Thuê Xe Du Lịch,"  388 Lê Văn Thọ, P. 16, Q. Gò Vấp, Tp. Hồ Chí Minh, Việt Nam",19002232 -  0911320320,Hồ Chí Minh
210,Công Ty TNHH Cổng Du Lịch Việt,Cho Thuê Xe Du Lịch ," Tầng 3, Số 119 Lý Chính Thắng, An Phú Plaza, Q. 3, Tp. Hồ Chí Minh, Tp. Hồ Chí Minh, Việt Nam",0988038302,Hồ Chí Minh
211,Công Ty Cổ Phần Vận Tải & Dịch Vụ Du Lịch Phương Trang,Cho Thuê Xe Du Lịch," 486 - 486A, P. Tân Phong, Q. 7, Tp. Hồ Chí Minh, Việt Nam",(028) 38386853,Hồ Chí Minh
212,Công Ty TNHH Asean Master,Cho Thuê Xe Du Lịch," 349/142 Lê Đại Hành, P. 13, Q. 11, Tp. Hồ Chí Minh, Việt Nam",0979878700,Hồ Chí Minh
213,Công Ty TNHH Thương Mại Dịch Vụ Du Lịch Nắng Ban Mai,Cho Thuê Xe Du Lịch," 21 Đường Số 4, P. 11, Q. 6, Tp. Hồ Chí Minh, Việt Nam",(028) 37552509,Hồ Chí Minh
214,Công Ty TNHH XNK Thương Mại Dịch Vụ Phát Triển Quang Minh,Cho Thuê Xe Du Lịch," 40/15 Trần Quang Diệu, P. 14, Q. 3, Tp. Hồ Chí Minh, Việt Nam",0931705194,Hồ Chí Minh
215,Công Ty TNHH Thương Mại & Vận Tải Hoàng Trường,Cho Thuê Xe Du Lịch," Số 1 Đường Hoàng Thế Thiện, P. Đông Hải 2, Q. Hải An, Tp. Hải Phòng, Việt Nam",(0225) 3761555,Hải Phòng
216,Công Ty CP Đầu Tư TM Du Lịch Quốc Tế Nụ Cười Vàng,Cho Thuê Xe Du Lịch," 34 Hoa Lan, P.2, Q. Phú Nhuận, Tp. Hồ Chí Minh, Việt Nam",71002828,Hồ Chí Minh
217,Công Ty TNHH Tm & DV Du Lịch Quảng Đà Thành,Cho Thuê Xe Du Lịch," 67 Hồ Xuân Hương, Q. Ngũ Sơn, Tp. Đà Nẵng, Việt Nam",(0236) 2638638,Đà Nẵng
218,Dịch Vụ Cho Thuê Xe Máy Tại Tuy Hòa Phú Yên,Cho Thuê Xe Du Lịch," 24 Trần Bình Trọng, P. 3, Tuy Hòa, Phú Yên, Việt Nam",01666661221,Phú Yên
219,Công Ty Cổ Phần Du Lịch Quốc Tế Mở Hạ Long,Cho Thuê Xe Du Lịch," CT2,12A16, Greenbay Hùng Thắng ,Hạ Hong, Quảng Ninh, Việt Nam",0332460038,Quảng Ninh
220,Công Ty Cổ Phần Phát Triển Thương Mại & Du Lịch Phù Đổng,Cho Thuê Xe Du Lịch," Km 3, Quốc Lộ 3, Mai Lâm, Đông Anh, Hà Nội, Việt Nam",(024) 39611899,Hà Nội
221,Công Ty CP Đầu Tư TM DV Du Lịch Đất Việt,Cho Thuê Xe Du Lịch," 198 Phan Văn Trị, P. 10, Q. Gò Vấp, Tp. Hồ Chí Minh, Việt Nam",(028) 39897562,Hồ Chí Minh
222,Công Ty TNHH Dịch Vụ Du Lịch Nam Nhật Tân,Cho Thuê Xe Du Lịch," số 84 Đường Chiến Thắng P.9 Q. Phú Nhuận Tp. Hồ Chí Minh, Việt Nam",Hotline : 0919.040.843,Hồ Chí Minh
223,Công Ty TNHH MTV Châu Hoàng Dũng,Cho Thuê Xe Du Lịch," 140/8A Phạm Văn Thuận, Tam Hiệp, Biên Hòa, Đồng Nai, Việt Nam",0918504963,Đồng Nai
224,Công Ty TNHH MTV Du Lịch Phong Cách Việt,Cho Thuê Xe Du Lịch," C51 Bình Lợi, P. 13, Q. Bình Thạnh, Tp. Hồ Chí Minh, Việt Nam",(028) 36014232,Hồ Chí Minh
225,Công Ty TNHH DV TM Du Lịch Rồng Việt,Cho Thuê Xe Du Lịch," Số 80 Bùi Thị Xuân, P. 1, TP. Bảo Lộc, Lâm Đồng, Việt Nam",0937035666,Lâm Đồng
226,Công Ty TNHH MTV Du Lịch Rồng Hoàng Gia,Cho Thuê Xe Du Lịch," 50/1 Y Tổ 13, Khu phố 2, P.An Bình, TP Biên Hòa, Đồng Nai, Việt Nam",(0251) 3837006,Đồng Nai
227,Doanh Nghiệp Tư Nhân Mộng Thương,Cho Thuê Xe Du Lịch," 49 Đờng Số 45, P. 10, Q. 6, Tp. Hồ Chí Minh, Việt Nam",(028) 38759443,Hồ Chí Minh
228,Công ty TNHH Thương mại Dịch vụ Du lịch Kim Cương Trắng,Cho Thuê Xe Du Lịch," 349/C đường ĐT 746, Tổ 4, Khu 8, TT Uyên Hưng, Tân Uyên Bình Dương, Việt Nam",(0274) 3856676,Bình Dương
229,Công Ty Cổ Phần Kinh Doanh Thương Mại và Đầu tư TNT,Cho Thuê Xe Du Lịch," Số 30, Lô I, Đền Lừ II, P. Hoàng Văn Thụ, Q. Hoàng Mai, Hà Nội, Việt Nam",(024) 62913237,Hà Nội
