Name,Address,Phone,Province,Brand,Quantity
Showroom VinFast Thái Nguyên,"286 Lương Ngọc Quyến, Phường Quang Trung, TP. Thái Nguyên, Tỉnh Thái Nguyên",0899.49.04.07,Thái Nguyên,Vinfas,8
VinFast Minh Đạo,"Km 5, đường Cách Mạng Tháng 8, Cam Giá, Thành phố Thái Nguyên, Tỉnh Thái Nguyên",0899.49.04.07,Thái Nguyên,Vinfas,8
VinFast Thanh Hóa,"Số 999 Đại lộ Hùng Vương, Phường Đông Hải, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",0899.49.04.07,Thanh Hóa,Vinfas,8
VinFast Trần Phú - Thanh Hóa,"Tầng 1, TTTM Vincom Plaza Thanh Hóa, 27 Trần Phú, Phường Điện Biên, TP. Thanh Hóa, Tỉnh Thanh Hóa",0899.49.04.07,Thanh Hóa,Vinfas,8
VinFast Thế Hệ Mới,"38 Phạm Văn Đồng, Phường Vỹ Dạ, Thành phố Huế, Tỉnh Thừa Thiên Huế",0899.49.04.07,Thừa Thiên - Huế,Vinfas,8
VinFast Mỹ Tho,"Tầng 1 TTTM Vincom Plaza Mỹ Tho, Đường Hùng Vương, Phường 1, Thành phố Mỹ Tho, Tỉnh Tiền Giang",0899.49.04.07,Tiền Giang,Vinfas,8
VinFast Trà Vinh,"Vincom Plaza, 24 Nguyễn Thị Minh Khai, Phường 2, TP. Trà Vinh, Tỉnh Trà Vinh",0899.49.04.07,Trà Vinh,Vinfas,8
VinFast Tuyên Quang,"Tầng 1, TTTM Vincom Plaza Tuyên Quang, Số 260 Quang Trung, P. Phan Thiết, Thành phố Tuyên Quang, Tỉnh Tuyên Quang",0899.49.04.07,Tuyên Quang,Vinfas,8
VinFast Vĩnh Long,"Tầng L1, TTTM Vincom Plaza Vĩnh Long, 55 Phạm Thái Bường, P.4, Thành phố Vĩnh Long, Tỉnh Vĩnh Long",0899.49.04.07,Vĩnh Long,Vinfas,8
VinFast Vĩnh Phúc,"Đường Nguyễn Tất Thành, Xã Định Trung, TP. Vĩnh Yên, Tỉnh Vĩnh Phúc",0899.49.04.07,Vĩnh Phúc,Vinfas,8
VinFast Yên Bái,"Tầng 1, TTTM Vincom Plaza, Công viên Yên Hòa, Đường Tô Hiến Thành, TP. Yên Bái, Tỉnh Yên Bái",0899.49.04.07,Yên Bái,Vinfas,8
SsangYong An Phú,"01 Song hành, Phường An Phú, Quận 2, TP.HCM",0899.49.04.07,TP.HCM,,0
SsangYong Gò Vấp,"786B Nguyễn Kiệm, Phường 3, Quận Gò Vấp, TP.HCM",0899.49.04.07,TP.HCM,,0
SsangYong Long Biên,"3 - 5 Nguyễn Văn Linh, Phường Gia Thuỵ, Quận Long Biên, Hà Nội",0899.49.04.07,Hà Nội,,0
SsangYong Thăng Long,"Tầng 1 Tòa Nhà CT3 Lô 1 Phạm Văn Đồng, Quận Bắc Từ Liêm, Hà Nội",0899.49.04.07,Hà Nội,,0
Renault Phú Mỹ Hưng,"Tòa Nhà Beautiful Sài Gòn 02 Nguyễn Khắc Viện, Quận 7, TP.HCM",0899.49.04.07,TP.HCM,Renault,3
Renault Hà Nội,"68 Lê Văn Lương, Quận Thanh Xuân, Hà Nội",0899.49.04.07,Hà Nội,Renault,3
Renault Vinh,"Đại lộ Lê Nin, TP. Vinh, Nghệ An",0899.49.04.07,Nghệ An,Renault,3
Renault Gia Lai,"517A Lê Duẩn, Phường Thắng Lợi, TP. Pleiku, Tỉnh Gia Lai",0899.49.04.07,Gia Lai,Renault,3
Renault Đắk Lắk,"Tổ 6 Khối 6, Tôn Đức Thắng, Phường Tân An, TP. Buôn Ma Thuột, Tỉnh Đắk Lắk",0899.49.04.07,Đắk Lắk,Renault,3
Renault Hải Phòng,"552 Nguyễn Văn Linh, Phường Vĩnh Niệm, Quận Lê Chân, TP. Hải Phòng",0899.49.04.07,Hải Phòng,Renault,3
Mazda Gò Vấp,"Số 189 Nguyễn Oanh, Phường 10, Quận Gò Vấp, TPHCM",0899.49.04.07,TP.HCM,Mazda,26
Mazda Hồ Chí Minh,"TP. Thủ Đức, TPHCM",0899.49.04.07,TP.HCM,Mazda,26
Mazda Cộng Hòa,"22 Cộng Hoà, Phường 4, Quận Tân Bình, TP.HCM",0899.49.04.07,TP.HCM,Mazda,26
Mazda Tân Sơn Nhất,"07 Hoàng Minh Giám, Phường 9, Quận Phú Nhuận, TP.HCM",0899.49.04.07,TP.HCM,Mazda,26
Mazda Thảo Điền,"03 Quốc Hương, Phường Thảo Điền, Quận 2, TP.HCM",0899.49.04.07,TP.HCM,Mazda,26
Mazda Thiso Sala,"10 Đường Mai Chí Thọ, Phường Thủ Thiêm, TP. Thủ Đức, TP.HCM",0899.49.04.07,TP.HCM,Mazda,27
Mazda Lê Văn Lương,"Số 68 Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, TP.Hà Nội",0899.49.04.07,Hà Nội,Mazda,26
Mazda Láng Hạ,"103 Láng Hạ, phường Láng Hạ, quận Đống Đa, Hà Nội",0899.49.04.07,Hà Nội,Mazda,27
Mazda Giải Phóng,"Số 5 Ngọc Hồi, Phường Hoàng Liệt, Quận Hoàng Mai, TP. Hà Nội",0899.49.04.07,Hà Nội,Mazda,26
Mazda Long Biên,"105A Lý Sơn, Ngọc Thụy, Quận Long Biên, Hà Nội",0899.49.04.07,Hà Nội,Mazda,26
Mazda Phạm Văn Đồng,"Lô đất CC2, khu đô thị Thành phố Giao Lưu, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội (Gần Bộ Công An)",0899.49.04.07,Hà Nội,Mazda,26
Mazda Trần Khát Chân,"194 Trần Khát Chân, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",0899.49.04.07,Hà Nội,Mazda,26
Mazda Hà Đông,"TTTM The K-Park, KĐT Văn Phú, Phường Phúc La, Quận Hà Đông, Hà Nội",0899.49.04.07,Hà Nội,Mazda,26
Mazda Yên Nghĩa,"Số 948 Quang Trung Kéo Dài, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",0899.49.04.07,Hà Nội,Mazda,26
Mazda Mỹ Đình,"Đường Trịnh Văn Bô, Tổ dân phố 5, Phường Phương Canh, Quận Nam Từ Liêm, TP. Hà Nội",0899.49.04.07,Hà Nội,Mazda,26
Mazda Liên Chiểu,"405 Tôn Đức Thắng, Phường Hoà Minh, Quận Liên Chiểu, TP. Đà Nẵng",0899.49.04.07,Đà Nẵng,Mazda,0
Mazda Đắk Lắk,"38 Nguyễn Chí Thanh, TP. Buôn Ma Thuột, Đắk Lắk",0899.49.04.07,Đắk Lắk,Mazda,26
Mazda Buôn Hồ,"824 Hùng Vương, P. Thiện An, TX. Buôn Hồ, Tỉnh Đắk Lắk",0899.49.04.07,Đắk Lắk,Mazda,0
Mazda Đắk Nông,"Tổ dân phố 5, Phường Nghĩa Thành, Gia Nghĩa, Tỉnh Đắk Nông",0899.49.04.07,Đắk Nông,Mazda,27
Mazda Biên Hòa,"Số 18A Đường 2A, Phường An Bình, TP. Biên Hòa, Đồng Nai",0899.49.04.07,Đồng Nai,Mazda,26
Mazda Long Khánh,"Số 535 Đường 21 Tháng 4, Phường Xuân Bình, TP Long Khánh, Đồng Nai",0899.49.04.07,Đồng Nai,Mazda,26
Mazda Long Thành,"821 Trường Chinh, Tổ 39, Khu Cầu Xéo, TT.Long Thành, Tỉnh Đồng Nai",0899.49.04.07,Đồng Nai,Mazda,27
Mazda Đồng Tháp,"28 Lý Thường Kiệt, Phường 1, TP. Cao Lãnh, Tỉnh Đồng Tháp",0899.49.04.07,Đồng Tháp,Mazda,26
Mazda Gia Lai,"244 Nguyễn Tất Thành, Phường Phù Đổng, TP. Pleiku, Gia Lai",0899.49.04.07,Gia Lai,Mazda,26
Mazda Hà Giang,"Thôn Lâm Đồng, Xã Phương Thiện, TP. Hà Giang",0899.49.04.07,Hà Giang,Mazda,26
Mazda Hà Nam,"Khu DVTM4, Quốc Lộ 1A, Phường Thanh Châu, TP. Phủ Lý, Tỉnh Hà Nam",0899.49.04.07,Hà Nam,Mazda,26
Mazda An Giang,"46 Trần Hưng Đạo, Phường Mỹ Thới, TP. Long Xuyên, Tỉnh An Giang",0899.49.04.07,An Giang,Mazda,26
Mazda Vũng Tàu,"Số 422 Thống Nhất, Phường 8, TP. Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",0899.49.04.07,Bà Rịa - Vũng Tàu,Mazda,26
Mazda Bà Rịa,"Quốc Lộ 51, Phường Phước Trung, TP. Bà Rịa, Bà Rịa - Vũng Tàu",0899.49.04.07,Bà Rịa - Vũng Tàu,Mazda,27
Mazda Bạc Liêu,"Đường 23/8, Phường 8, TP. Bạc Liêu, tỉnh Bạc Liêu",0899.49.04.07,Bạc Liêu,Mazda,27
Mazda Bắc Kạn,"Nam Đội Thân, Nông Thượng, Thành phố Bắc Kạn, Tỉnh Bắc Kạn",0899.49.04.07,Bắc Cạn,Mazda,27
Mazda Bắc Giang,"Cụm Công Nghiệp Dĩnh Kế, Phường Dĩnh Kế, TP.Bắc Giang, Tỉnh Bắc Giang",0899.49.04.07,Bắc Giang,Mazda,26
Mazda Bắc Ninh,"01 Đường Lê Thái Tổ, Phường Võ Cường, TP. Bắc Ninh, Tỉnh Bắc Ninh",0899.49.04.07,Bắc Ninh,Mazda,26
Mazda Từ Sơn,"DT179, Khu đô thị Đền Đô, Đình Bảng, TP Từ Sơn, Bắc Ninh",0899.49.04.07,Bắc Ninh,Mazda,27
Mazda Bến Tre,"Xã Hữu Định, Huyện Châu Thành, Tỉnh Bến Tre",0899.49.04.07,Bến Tre,Mazda,27
Mazda Bình Dương,"56/9 Đại Lộ Bình Dương, Tổ 15 , KP Bình Giao, Phường Thuận Giao, TP Thuận An, Tỉnh Bình Dương",0899.49.04.07,Bình Dương,Mazda,26
Mazda Tân Uyên,"60 Nguyễn Văn Linh, Khu phố Tân Long, Phường Tân Hiệp, Thị xã Tân Uyên, Bình Dương",0899.49.04.07,Bình Dương,Mazda,27
Mazda Thủ Dầu Một,"1220 Đại lộ Bình Dương,Tổ 34, Khu phố 4, Phường Định Hòa, TP. Thủ Dầu Một, Bình Dương",0899.49.04.07,Bình Dương,Mazda,27
Mazda Bình Định,"Khu Đô Thị Thương Mại An Phú, Đường Tây Sơn, Phường Quang Trung, TP. Quy Nhơn, Tỉnh Bình Định",0899.49.04.07,Bình Định,Mazda,26
Mazda Bình Phước,"648 Phú Riềng Đỏ, Phường Tân Xuân, Thị Xã Đồng Xoài, Bình Phước",0899.49.04.07,Bình Phước,Mazda,26
Mazda Chơn Thành,"32-50 Quốc Lộ 13, Tổ 5, Khu Phố 10, Phường Hưng Long, Thị Xã Chơn Thành, Bình Phước",0899.49.04.07,Bình Phước,Mazda,27
Mazda Phan Thiết,"Quốc Lộ 1A, Thôn Thắng Lợi, Xã Hàm Thắng, Huyện Hàm Thuận Bắc, Tỉnh Bình Thuận",0899.49.04.07,Bình Thuận,Mazda,26
Mazda Cà Mau,"Lô số 01, đường Vành Đai 2, phường 9, TP. Cà Mau, Cà Mau",0899.49.04.07,Cà Mau,Mazda,27
Mazda Cao Bằng,"Tổ 9, Phường Đề Thám, TP. Cao Bằng, Cao Bằng",0899.49.04.07,Cao Bằng,Mazda,27
Mazda Cần Thơ,"Đường Quang Trung, KDC Hưng Phú 1, Phường Hưng Phú, Quận Cái Răng, TP.Cần Thơ",0899.49.04.07,Cần Thơ,Mazda,26
Mazda Tây Đô,"Số 340 Đường Cách Mạng Tháng 8, Bùi Hữu Nghĩa, Bình Thủy, Cần Thơ",0899.49.04.07,Cần Thơ,Mazda,27
Mazda Thốt Nốt,"Quốc Lộ 91, KV Thới Thạnh 1, Phường Thới Thuận, Quận Thốt Nốt, TP. Cần Thơ",0899.49.04.07,Cần Thơ,Mazda,27
Mazda Hà Tĩnh,"427 Trần Phú, Phường Thạch Linh, Thành Phố Hà Tĩnh, Tỉnh Hà Tĩnh",0899.49.04.07,Hà Tĩnh,Mazda,26
Mazda Hải Dương,"Km1 Đường Nguyễn Lương Bằng, Phường Phạm Ngũ Lão, TP.Hải Dương, Tỉnh Hải Dương",0899.49.04.07,Hải Dương,Mazda,27
Mazda Chí Linh,"Khu đô thị mới phía Tây, Phường Thanh Bình, Thành phố Hải Dương, Tỉnh Hải Dương",0899.49.04.07,Hải Dương,Mazda,27
Mazda Hải Phòng,"Số 336 đường Hà Nội, Phường Sở Dầu, Quận Hồng Bàng, TP.Hải Phòng",0899.49.04.07,Hải Phòng,Mazda,26
Mazda Nguyễn Văn Linh,"552 Nguyễn Văn Linh, Phường Vĩnh Niệm, Quận Lê Chân, Hải Phòng",0899.49.04.07,Hải Phòng,Mazda,27
Mazda Hòa Bình,"Km 3,5 Quốc Lộ 6, Phố Ngọc, Xã Trung Minh, TP. Hòa Bình, Tỉnh Hòa Bình",0899.49.04.07,Hòa Bình,Mazda,26
Mazda Hậu Giang,"Quốc Lộ 61C, Ấp 7, Xã Vị Trung, Huyện Vị Thuỷ, Tỉnh Hậu Giang",0899.49.04.07,Hậu Giang,Mazda,27
Mazda Hưng Yên,"Số 8 Đinh Điền, Phường Lam Sơn, Thành Phố Hưng Yên, Tỉnh Hưng Yên",0899.49.04.07,Hưng Yên,Mazda,26
Mazda Phố Nối,"Ngã tư Phố Nối A, Quốc lộ 5, Xã Trưng Trắc, Huyện Văn Lâm, Tỉnh Hưng Yên",0899.49.04.07,Hưng Yên,Mazda,27
Mazda Yên Bái,"Đường Âu Cơ, Tổ 55, Phường Đồng Tâm , Thành phố Yên Bái, Yên Bái",0899.49.04.07,Yên Bái,Mazda,27
Mazda Nha Trang,"Lô số 1, Khu Vực 2, Đường 23/10, Xã Vĩnh Hiệp, TP. Nha Trang, Tỉnh Khánh Hòa",0899.49.04.07,Khánh Hòa,Mazda,26
Mazda Kiên Giang,"181 Cách Mạng Tháng 8, Phường Vĩnh Lợi, TP. Rạch Giá, Tỉnh Kiên Giang",0899.49.04.07,Kiên Giang,Mazda,26
Mazda Kon Tum,"Số 270 Phan Đình Phùng, Phường Duy Tân, TP. Kon Tum, Tỉnh Kon Tum",0899.49.04.07,KonTum,Mazda,26
Mazda Lào Cai,"Số 1 Võ Nguyên Giáp, Bắc Cường, TX.Lào Cai, Lào Cai",0899.49.04.07,Lào Cai,Mazda,27
Mazda Lạng Sơn,"Đường Quốc Lộ 1A, Phường Đông Kinh, TP. Lạng Sơn, Tỉnh Lạng Sơn",0899.49.04.07,Lạng Sơn,Mazda,26
Mazda Đà Lạt,"Số 02 Bis, Đường 3 Tháng 4, Phường 3, TP. Đà Lạt, Lâm Đồng",0899.49.04.07,Lâm Đồng,Mazda,26
Mazda Bảo Lộc,"Số 288 Trần Phú, Phường Lộc Sơn, TP. Bảo Lộc, Lâm Đồng",0899.49.04.07,Lâm Đồng,Mazda,26
Mazda Đức Trọng,"Thôn Phú Thạnh, Xã Hiệp Thạnh, Huyện Đức Trọng, Tỉnh Lâm Đồng",0899.49.04.07,Lâm Đồng,Mazda,27
Mazda Long An,"192-195, Quốc Lộ 1A, Phường 5, Thành Phố Tân An, Tỉnh Long An",0899.49.04.07,Long An,Mazda,26
Mazda Bến Lức,"131 Quộc Lộ 1A, Ấp Chánh, Xã Long Hiệp, Huyện Bến Lức, Tỉnh Long An",0899.49.04.07,Long An,Mazda,27
Mazda Nam Định,"Số 19 Đường Trần Hưng Đạo, Phường Trần Hưng Đạo, TP. Nam Định, Tỉnh Nam Định",0899.49.04.07,Nam Định,Mazda,26
Mazda Vinh,"Ngã tư sân bay, Đại lộ Lenin, TP Vinh, Nghệ An",0899.49.04.07,Nghệ An,Mazda,26
Mazda Lê Lợi,"Số 219, Đường Lê Lợi, TP Vinh, Tỉnh Nghệ An",0899.49.04.07,Nghệ An,Mazda,26
Mazda Ninh Bình,"Số 63 Lê Đại Hành, Phường Thanh Bình, TP. Ninh Bình, Tỉnh Ninh Bình",0899.49.04.07,Ninh Bình,Mazda,26
Mazda Phan Rang,"Quốc Lộ 1A, Xã Thành Hải, TP. Phan Rang, Ninh Thuận",0899.49.04.07,Ninh Thuận,Mazda,27
Mazda Phú Thọ,"Tổ 52, Khu 12, Đường Nguyễn Tất Thành, Phường Thanh Miếu, TP. Việt Trì, Tỉnh Phú Thọ",0899.49.04.07,Phú Thọ,Mazda,26
Mazda Phú Yên,"253 Nguyễn Tất Thành, Phường 8, TP. Tuy Hòa, Phú Yên",0899.49.04.07,Phú Yên,Mazda,27
Mazda Quảng Bình,"Số 95 Đường Hữu Nghị, Phường Nam Lý, TP. Đồng Hới, Tỉnh Quảng Bình",0899.49.04.07,Quảng Bình,Mazda,26
Mazda Ba Đồn,"Đường Quang Trung, Phường Phú Hải, TP. Đồng Hới, Tỉnh Quảng Bình",0899.49.04.07,Quảng Bình,Mazda,27
Mazda Quảng Nam,"Quốc Lộ 1A, Phường Tân Thạnh, TP. Tam Kỳ, Tỉnh Quảng Nam",0899.49.04.07,Quảng Nam,Mazda,26
Mazda Quãng Ngãi,"07 Đinh Tiên Hoàng, Phường Nghĩa Chánh, TP. Quảng Ngãi",0899.49.04.07,Quảng Ngãi,Mazda,26
Mazda Quảng Ninh,"Km 103, Quốc Lộ 18A, Phường Hà Khẩu, TP. Hạ Long, Quảng Ninh",0899.49.04.07,Quảng Ninh,Mazda,26
Mazda Móng Cái,"Km4, Phường Hải Yên, TP. Móng Cái, Quảng Ninh",0899.49.04.07,Quảng Ninh,Mazda,27
Mazda Cẩm Phả,"934 Đặng Châu Tuệ, Km 14, phường Quang Hanh, TP. Cẩm Phả,  Tỉnh Quảng Ninh",0899.49.04.07,Quảng Ninh,Mazda,27
Mazda Quảng Trị,"QL1A. Xã Triệu Giang, Huyện Triệu Phong, Quảng Trị",0899.49.04.07,Quảng Trị,Mazda,26
Mazda Sóc Trăng,"Ấp Phụng Hiệp, Xã An Hiệp, Huyện Châu Thành, Tỉnh Sóc Trăng",0899.49.04.07,Sóc Trăng,Mazda,27
Mazda Sơn La,"Km10, Tổ 5, Phường Chiềng Sinh, TP. Sơn La, Tỉnh Sơn La",0899.49.04.07,Sơn La,Mazda,26
Mazda Tây Ninh,"Đường Hùng Vương, Khu Phố Thanh Bình A, Thị Trấn Gò Dầu, Huyện Gò Dầu, Tỉnh Tây Ninh",0899.49.04.07,Tây Ninh,Mazda,26
Mazda Thái Bình,"Km3+500, Đường Hùng Vương, Phường Phú Khánh, TP. Thái Bình",0899.49.04.07,Thái Bình,Mazda,26
Mazda Thái Nguyên,"Khu QH Dân Cư 3+4, Đường Phan Đình Phùng, Tổ 11, Phường Đồng Quang, TP. Thái Nguyên, Tỉnh Thái Nguyên",0899.49.04.07,Thái Nguyên,Mazda,26
Mazda Sông Công,"KCN Nguyên Gon, Phường Cải Đan, Thành Phố Sông Công, Tỉnh Thái Nguyên",0899.49.04.07,Thái Nguyên,Mazda,27
Mazda Thanh Hóa,"759 Bà Triệu, Phường Trường Thi, TP.Thanh Hóa, Tỉnh Thanh Hóa",0899.49.04.07,Thanh Hóa,Mazda,26
Mazda Thọ Xuân,"Thôn Hữu Lễ 4, Xã Thọ Xương, Thị Trấn Thọ Xuân, Tỉnh Thanh Hóa",0899.49.04.07,Thanh Hóa,Mazda,26
Mazda Nguyễn Tất Thành,"145 Nguyễn Tất Thành, Phường Thủy Dương, TX. Hương Thủy, Thừa Thiên Huế",0899.49.04.07,Thừa Thiên - Huế,Mazda,27
Mazda Nguyễn Văn Linh - Huế,"5 Nguyễn Văn Linh, An Hòa, Thành phố Huế, Thừa Thiên Huế",0899.49.04.07,Thừa Thiên - Huế,Mazda,27
Mazda Tiền Giang,"Khu Phố 2, Phường 10, Thành Phố Mỹ Tho, Tỉnh Tiền Giang",0899.49.04.07,Tiền Giang,Mazda,26
Mazda Trà Vinh,"Đường Võ Nguyên Giáp, Khóm 1, Phường 8 , TP. Trà Vinh, Tỉnh Trà Vinh",0899.49.04.07,Trà Vinh,Mazda,27
Mazda Tuyên Quang,"KM5 đường Tuyên Quang-Hà Nội, Xã Lưỡng Vượng, TP. Tuyên Quang, Tuyên Quang",0899.49.04.07,Tuyên Quang,Mazda,27
Mazda Vĩnh Long,"Số 375A Tân Thuận An, Xã Tân Ngãi, TP. Vĩnh Long, Tỉnh Vĩnh Long",0899.49.04.07,Vĩnh Long,Mazda,26
Mazda Vĩnh Phúc,"Xóm Phổ, Quất Lưu, Bình Xuyên, Vĩnh Phúc (Cạnh Big C Vĩnh Phúc)",0899.49.04.07,Vĩnh Phúc,Mazda,26
KIA Gò Vấp,"189 Nguyễn Oanh, Phường 10, Quận Gò Vấp, TP.HCM",0899.49.04.07,TP.HCM,Kia,43
KIA Nguyễn Văn Trỗi,"80 Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, TP.HCM",0899.49.04.07,TP.HCM,Kia,43
KIA Thảo Điền,"03 Quốc Hương, Phường Thảo Điền, Quận 2, TP.HCM",0899.49.04.07,TP.HCM,Kia,43
KIA Kinh Dương Vương,"309A Kinh Dương Vương, Phường An Lạc, Quận Bình Tân, TP Hồ Chí Minh",0899.49.04.07,TP.HCM,Kia,43
KIA Bình Tân,"75 Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, TP Hồ Chí Minh",0899.49.04.07,TP.HCM,Kia,43
KIA Trường Chinh,"38 Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, TPHCM",0899.49.04.07,TP.HCM,Kia,43
KIA Hùng Vương,"8A Lý Thường Kiệt, Phường 12, Quận 5, Hồ Chí Minh",0899.49.04.07,TP.HCM,Kia,56
KIA Thiso Sala,"10 Mai Chí Thọ, Phường Thủ Thiêm, TP. Thủ Đức, TP.HCM",0899.49.04.07,TP.HCM,Kia,56
KIA Bạch Đằng,"315 Nguyễn Khoái, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",0899.49.04.07,Hà Nội,Kia,43
KIA Long Biên,"105A Đường Lý Sơn, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",0899.49.04.07,Hà Nội,Kia,43
KIA Cầu Diễn,"Km 10.5, Quốc Lộ 32, Đường Cầu Diễn, Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội",0899.49.04.07,Hà Nội,Kia,43
KIA Giải Phóng,"Km10, Đường Giải Phóng, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",0899.49.04.07,Hà Nội,Kia,35
KIA Phạm Văn Đồng,"Lô đất CC2, Khu Đô Thị TP.Giao Lưu, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",0899.49.04.07,Hà Nội,Kia,43
KIA Đống Đa,"568 Đường Láng, Phường Láng Hạ, Quận Đống Đa, TP. Hà Nội",0899.49.04.07,Hà Nội,Kia,35
KIA Mỹ Đình,"22 Trịnh Văn Bô, Phường Mỹ Đình, Quận Nam Từ Liêm, TP. Hà Nội",0899.49.04.07,Hà Nội,Kia,35
KIA Sơn Tây,"Khu Thành Ngạnh - Phường Trung Sơn Trầm, Thị xã Sơn Tây, Hà Nội",0899.49.04.07,Hà Nội,Kia,56
KIA Liên Chiểu,"405 Tôn Đức Thắng, Phường Hoà Minh, Quận Liên Chiểu, Thành phố Đà Nẵng",0899.49.04.07,Đà Nẵng,Kia,56
KIA Phạm Hùng,"27 Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ, TP. Đà Nẵng",0899.49.04.07,Đà Nẵng,Kia,56
KIA Đắk Lắk,"19 Nguyễn Tất Thành, Phường Tân Lợi, TP. Buôn Ma Thuột, Tỉnh Đắk Lắk",0899.49.04.07,Đắk Lắk,Kia,43
KIA Đắk Nông,"19 Nguyễn Tất Thành Phường Tân Lợi, TP. Buôn Ma Thuột, Tỉnh Đắk Lắk",0899.49.04.07,Đắk Nông,Kia,45
KIA Long Khánh,"Số 535 đường 21 tháng 4, Phường Xuân Bình, Thành phố Long Khánh, Đồng Nai",0899.49.04.07,Đồng Nai,Kia,56
KIA Long Thành,"821 Trường Chinh, Tổ 39, Khu Cầu Xéo, TT. Long Thành, Đồng Nai",0899.49.04.07,Đồng Nai,Kia,56
KIA Đồng Tháp,"Số 28 Đường Lý Thường Kiệt, Phường 1, TP. Cao Lãnh, Tỉnh Đồng Tháp",0899.49.04.07,Đồng Tháp,Kia,60
KIA Đồng Tháp - CN Mỹ Phú,"Số 318, Quốc Lộ 30, P.hường Mỹ Phú, TP.Cao Lãnh, Đồng Tháp",0899.49.04.07,Đồng Tháp,Kia,56
KIA Gia Lai,"93-95-97 Trường Chinh, Phường Phù Đổng, TP. Pleiku, Tỉnh Gia Lai",0899.49.04.07,Gia Lai,Kia,43
KIA Hà Giang,"Thôn Lâm Đồng, Xã Phương Thiện, TP. Hà Giang",0899.49.04.07,Hà Giang,Kia,43
KIA Hà Nam,"Khu DVTM4, Quốc Lộ 1A, Phường Thanh Châu, TP. Phủ Lý, Tỉnh Hà Nam",0899.49.04.07,Hà Nam,Kia,43
KIA An Giang,"25/10 Trần Hưng Đạo, Phường Mỹ Thới, TP. Long Xuyên, Tỉnh An Giang",0899.49.04.07,An Giang,Kia,35
KIA An Giang - CN Trần Hưng Đạo,"2191-2201 Trần Hưng Đạo, Tổ 3, Khóm An Thới, Phường Mỹ Thới, Thành Phố Long Xuyên, Tỉnh An Giang",0899.49.04.07,An Giang,Kia,56
KIA Vũng Tàu,"426 Đường Thống Nhất Mới, Phường 8, TP. Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",0899.49.04.07,Bà Rịa - Vũng Tàu,Kia,35
KIA Bà Rịa,"Quốc Lộ 51, Phường Phước Trung, TP. Bà Rịa,  Bà Rịa - Vũng Tàu",0899.49.04.07,Bà Rịa - Vũng Tàu,Kia,56
KIA Bạc Liêu,"567, Ấp Tân Tạo, TT. Châu Hưng, H. Vĩnh Lợi, Tỉnh Bạc Liêu",0899.49.04.07,Bạc Liêu,Kia,56
KIA Bắc Kạn,"Thôn Nam Đội Thân, Xã Nông Thượng, TP. Bắc Kạn, Bắc Kạn",0899.49.04.07,Bắc Cạn,Kia,56
KIA Bắc Giang,"Cụm Công Nghiệp Dĩnh Kế, Phường Dĩnh Kế, TP.Bắc Giang, Tỉnh Bắc Giang",0899.49.04.07,Bắc Giang,Kia,43
KIA Bắc Ninh,"9 Lê Thái Tổ, Phường Võ Cường, TP. Bắc Ninh, Tỉnh Bắc Ninh",0899.49.04.07,Bắc Ninh,Kia,43
KIA Từ Sơn,"578 Trần Phú, Phường Đình Bảng, TP. Từ Sơn, Bắc Ninh",0899.49.04.07,Bắc Ninh,Kia,56
KIA Bến Tre,"Quốc Lộ 60, Khu phố 1, Phường Phú Tân, TP.Bến Tre, Bến Tre",0899.49.04.07,Bến Tre,Kia,56
KIA Bình Dương,"56/9 Đại Lộ Bình Dương, Tổ 15, Khu Phố Bình Giao, Phường Thuận Giao, Thị Xã Thuận An, Tỉnh Bình Dương",0899.49.04.07,Bình Dương,Kia,39
KIA Thủ Dầu Một,"1220 Đại Lộ Bình Dương, Tổ 34, Khu Phố 4, Phường Định Hòa, TP. Thủ Dầu Một, Bình Dương",0899.49.04.07,Bình Dương,Kia,56
KIA Tân Uyên,"60 Nguyễn Văn Linh, Khu phố Tân Long, Phường Tân Hiệp, Thị Xã Tân Uyên, Bình Dương",0899.49.04.07,Bình Dương,Kia,56
KIA Bình Định,"Khu ĐTTM An Phú, Đường Tây Sơn, Phường Quang Trung, TP. Quy Nhơn, Tỉnh Bình Định",0899.49.04.07,Bình Định,Kia,35
KIA Bình Phước,"648 Phú Riềng Đỏ, Phường Tân Xuân, Thị Xã Đồng Xoài, Tỉnh Bình Phước",0899.49.04.07,Bình Phước,Kia,43
