,uid,Name,Status,Members,Posts_per_day,Group
730,865517007864986,Hội Lexus Hà Nội ( Lx/Rx/Nx/Es/...),Public,12000,10 posts a week,Car
731,292702581664412,Surface Microsoft Cũ Mới Lào Cai,Public,2500,10 posts a day,Car
732,582548488490332,"Mua Bán Xe Sang Toàn Quốc ( Lexus, Mercedes, Porsche,…)",Public,2100,9 posts a day,Car
752,384370493253425,Mua Bán Xe Sang ( Mercedes. Porsche. Bmw. Lexus. ),Public,388,8 posts a month,Car
753,2916472248611554,MUA BÁN XE SANG (Posche Mercedes Audi BMW Lexus R.Rover ....vv),Public,409,5 posts a day,Car
757,3695944827178378,Hội Hyundai TUCSON 2022 Việt Nam ( TucsonclubVN),Public,2500,10 posts a day,Car
793,1373906836666722,Hội Mercedes Ben GLC Classic C E S,Public,10000,6 posts a day,Car
795,4320760978032360,MUA BÁN XE SANG ( Porsche Mercedes Audi BMW Lexus R.Rover ...v.v),Public,10000,10+ posts a day,Car
796,2477009262615228,Mer-Cedes Ben-zzzz Girls to Ladies auto club,Public,45,1 post a year,Car
797,188029907906097,MERCEDES BENS GROUP,Private,11,,Car
798,826316127528011,Mercedes BenZ+ VIETNAM CLUB,Public,1300,4 posts a day,Car
799,349208579365406,"Nhóm Mua Bán Xe Đức: Mercedes-Benz, Audi, BMW, Volkswagen, Porsche...",Public,4200,10+ posts a day,Car
800,374632163568160,"Mercedes - Benz GL-class ( GLA, GLC, GLE, GLS ) Việt Nam",Public,4200,10+ posts a day,Car
801,251653319643565,Mercedes - BenZ Việt Nam,Public,3,7 posts a year,Car
803,486909558444855,"Hội Mercedes E180, E200, E250, E300, E350 Việt Nam™ (E-ClubVN)",Private,72000,10+ posts a day,Car
804,990247547705903,"HỘI XE ĐỨC BMW, MERCEDES, AUDI, PORSCHE MIỀN BẮC",Public,16000,10+ posts a day,Car
805,114208242004043,G63 AMG Group,Public,12000,5 posts a week,Car
806,229834844480854,"HỘI MUA BÁN XE SANG MERCEDES, BMW, AUDI",Public,78000,9 posts a day,Car
808,2558326031140026,CLUB DREAM HÀ NỘI,Public,3800,10+ posts a day,Car
809,579253339111428,Mua bán Mercedes và xe sang,Public,1800,10+ posts a day,Car
810,1249565442366574,"MERCEDES C200, C300 , GLC 200, GLC 300, E200, E300,  ( M-Club)",Public,45000,10+ posts a day,Car
814,1076238809416629,Chợ Phụ Tùng BMW-MERCEDES BENZ-AUDI,Public,5300,10+ posts a day,Car
815,2246744165357651,Benelli BN302 Vietnam Team Group,Private,3400,5 posts a week,Car
817,2740798472847125,Xe Đức BMW - Porsche - Audi - Mercedes-Benz -  🇩🇪,Public,14,5 posts a year,Car
818,124689244798994,Benelli Vietnam [TRK502 - Leoncino500 - BN600 - BN302],Private,7400,3 posts a day,Car
819,611613435634300,"CLB OFFROAD VIETNAM: Xe cào cào, Motocross, Enduro, Dirtbike, Trial",Public,27000,2 posts a day,Car
838,1671103149776935,GLC Club - Mercedes-Benz Việt Nam,Public,89000,3 posts a day,Car
839,181239882244452,Mercedes Benz Club,Public,12000,7 posts a year,Car
840,1127908264002669,GLC Club - Mercedes-Benz Vietnam - độ xe,Public,23000,10+ posts a day,Car
841,1211623835612090,GLC Mercedes-Benz Vietnam Club,Public,13000,10+ posts a day,Car
842,426689864098147,Mercedes-Benz Vietnam Club - Các chuyến đi dã ngoại,Public,13000,6 posts a month,Car
843,245492252269557,Mercedes-Benz Vietnam Club - Góc kỹ thuật,Public,4900,5 posts a month,Car
845,2962921040642976,Hội Mercedes-Benz Việt Nam™ (Mercedes-Benz VN Club),Public,4700,40 posts a week,Car
846,280761384190170,Hội - Mercedes Benz - Lexus - BMV - Audi - Việt Nam (Club Vn)>,Public,37000,10+ posts a day,Car
847,220106902187415,Hội những người yêu Mercedes-Benz Việt Nam,Public,94000,4 posts a day,Car
848,746939162829647,MUA BÁN TRAO ĐỔI XE MERCEDES,Public,11000,10+ posts a day,Car
850,703828803289024,"Hội Mercedes C200, C250, C300 Việt Nam™ (C-ClubVN)",Private,221000,10+ posts a day,Car
851,324022597795354,Mercedes E Class Viet Nam (E Club),Private,20000,2 posts a week,Car
852,1088260404602093,Mercedes Benz Việt Nam,Private,27000,10 posts a day,Car
853,583513459707648,✅ MayBach - Mercedes-Benz Việt Nam Club,Public,2500,10+ posts a day,Car
854,1046821635355530,Hội xe Mercedes-Benz Viet Nam,Public,42000,10+ posts a day,Car
864,754010115321468,CHUYÊN MUA-BÁN XE SANG TOÀN QUỐC UY-TÍN 🚘🚘🚘,Public,402,5 posts a week,Car
867,448558198832387,nhóm mua bán xe CUB,Private,121000,10 posts a day,Car
876,968308690034833,Hội Những Người Sử Dụng Xe Sang,Public,5300,2 posts a week,Car
881,1014784145303229,MERCEDES BENZ ///AMG VIỆT NAM CLUB,Public,1700,8 posts a month,Car
885,2168534713173960,"Hội Mercedes GLC 300, 250, 200 Việt Nam™ (GLCClub)",Private,29000,10+ posts a day,Car
886,258588124828194,Hội Mercedes Benz Việt Nam,Public,46000,10+ posts a day,Car
931,494518141031000,Hội Nissan Sunny Việt Nam™ (SunnyClubVN),Private,23000,10+ posts a day,Car
932,534915634172808,Hội Nissan Almera Việt Nam (NissanAlmeraClubVN),Public,32000,10+ posts a day,Car
933,487900499004514,NISSAN ALMERA VIỆT NAM CLUB,Public,12000,10+ posts a day,Car
934,307195073162988,NISSAN TERRA VIỆT NAM CLUB,Public,8700,8 posts a day,Car
935,202160537128486,NISSAN TERRA VIỆT NAM CLUB,Private,12000,4 posts a day,Car
936,1646867298689892,Nissan Teana Việt Nam Club,Private,4100,10 posts a week,Car
937,808540459816822,Hội Nissan Sunny Việt Nam™ (SunnyClubVN),Private,28000,8 posts a week,Car
938,1335990297329604,NISSAN NAVARA VIỆT NAM CLUB,Public,4900,10 posts a day,Car
939,142909165224617,Nissan teana club vietnam ☑️,Public,307,4 posts a week,Car
942,311933609400173,Hội Nissan NAVARA Việt Nam™ (NAVARAClubVN),Private,43000,10+ posts a day,Car
943,1134465526705047,Hội Nissan Terra Việt Nam™ (TerraClubVN),Private,9200,10+ posts a day,Car
944,2148454448762006,Hội Nissan Teana Việt Nam™ (TeanaClubVN),Private,8400,10+ posts a day,Car
945,1931441980279062,"Hội Nissan X-Trail, XTRAIL Việt Nam™ (X-TrailClubVN)",Private,9800,10+ posts a day,Car
946,1009435082576450,Hội Nissan Almera Việt Nam ☑,Public,20000,2 posts a day,Car
948,2013734312240802,"Hội Xe Hơi NISSAN (Terra, Xtrail, Navara, Sunny, Teana)",Public,5100,11 members said they went to \\u0110\\u1ea1i h\\u1ecdc Qu\\u1ed1c gia H\\u00e0 N\\u1ed9i - VNU,Car
971,691621828021285,"Hội Nissan Navara Sài Gòn - Mua bán, chia sẻ, trao đổi kinh nghiệm",Public,2300,7 posts a day,Car
974,302090987477919,gara xe cỏ - giao lưu xe cỏ .nissan .toyota .honda,Private,16000,10+ posts a day,Car
1010,767474340627960,Hội Nissan NAVARA Việt Nam™ (NAVARAClubVN),Private,89000,10+ posts a day,Car
1011,998211917687982,Hội Nissan Almera Việt Nam™ (AlmeraClubVN),Private,50000,10+ posts a day,Car
1012,471059107316481,"Hội Nissan X-Trail, XTRAIL Việt Nam™ (X-TrailClubVN)",Private,38000,6 posts a day,Car
1014,1842925582651015,"toyota hiace,nissan caravan,hyundai starex, ေရာင္​းမယ္​ ဝယ္​မယ္​ လဲမယ္​",Public,33000,10+ posts a day,Car
1016,2044969079000395,Hội Nissan Kicks Việt Nam™ (KicksClubVN),Private,43000,7 posts a day,Car
1017,802248817360238,Hội Nissan Terra Việt Nam™ (TerraClubVN),Private,32000,4 posts a week,Car
1018,809807036288888,HỘI NISSAN KICKS e-POWER VIỆT NAM CLUB (KicksVN),Public,11000,7 posts a week,Car
1026,3967257806694156,Hội Nissan Kicks Việt Nam™ (NissanKicksClubVN),Public,32000,10+ posts a day,Car
1027,209846316453569,Hội Nissan Grand Livina Viet Nam,Private,2500,9 posts a week,Car
1040,621405805937278,HỘI ISUZU VIỆT NAM ✅,Public,14000,2 posts a week,Car
1054,507249046332070,Diễn Đàn Xe Nissan Việt Nam,Public,7600,8 posts a month,Car
1095,1025524694195894,OTO+,Public,47000,10 posts a day,Car
1097,1603347599814942,Hội mua bán xe ôtô cũ Hà nội.,Public,6800,10+ posts a day,Car
1101,485673091920374,"MUA BÁN ÔTÔ CŨ GIÁ RẺ, XE HƠI MỚI GIÁ TỐT ✔.",Public,62000,10+ posts a day,Car
1102,645371112322084,OTO-HUI TEAM,Private,20000,3 posts a day,Car
1108,772316632904989,Mercedes GLC Club Hà Nội,Public,1800,10 posts a day,Car
1110,748511455234127,Mua bán xe Innova (Toyota),Public,62000,10+ posts a day,Car
1111,443759942667571,Hội Toyota Raize Việt Nam™ (RaizeClubVN),Public,31000,2 posts a day,Car
1112,211430646240941,Hội Toyota Wigo Việt Nam (Club),Public,35000,2 posts a day,Car
1113,713477119514425,Nhóm Lesh English Gaming,Public,455,5 posts a week,Car
1122,757526254962606,Cộng đồng Bàn Phím Cơ or Giả Cơ Hà Nội 🔥🔥,Public,264,8 posts a month,Car
1124,523229938466690,Nhóm Pi - GROUP LUYỆN ĐỀ THI THỬ NÂNG CAO,Public,58000,3 posts a day,Car
1138,296119951064919,Hội Honda Brio Việt Nam™ (BrioClubVN),Private,2200,,Car
1140,415568172915706,Hội Ôtô Điện Vinfast Việt Nam Vf3-Vfe34- Vf5-Vf6-Vf7-Vf8-Vf9,Public,10000,2 posts a day,Car
1182,292509501377501,Hội Toyota Land Cruiser Prado Việt Nam™ (PradoClubVN),Private,54000,10+ posts a day,Car
1183,3508178796126482,"Mua - Bán ÔTÔ Toyota Altis Vios, City, Accent, i10, Morning Uy Tín Miền Bắc",Public,150,10 posts a day,Car
1184,1244659912338578,Hội xe Toyota Wigo Việt Nam,Public,12000,10+ posts a day,Car
1185,459208744626613,Hội Toyota Cross Việt Nam™️ (ToyotaCrossVN),Public,13000,10 posts a day,Car
1186,1137866203071293,Hội Xe Toyota Vios Việt nam ( Toyota Vios Việt nam Club),Private,102000,10 posts a day,Car
1187,662192243962316,Hội Toyota Corolla Altis Việt Nam™ (AltisClubVN),Private,109000,10+ posts a day,Car
1188,395819277255178,HỘI MUA BÁN OTO CŨ ĐÃ QUA SỬ DỤNG VIỆT TRÌ_PHÚ THỌ,Public,36000,10+ posts a day,Car
1189,757278331848807,"Hội mua bán xe ôtô cũ, xe ôtô đã qua sử dụng [Kia, Hyundai, Toyota, Honda ]",Private,33000,10+ posts a day,Car
1192,2125079251148838,Mua Bán Toyota Vios,Public,102000,10+ posts a day,Car
1193,367595053657088,Hội Toyota Fortuner Việt Nam™ (FortunerClubVN),Private,95000,10+ posts a day,Car
1194,171690380095206,Cộng Đồng TOYOTA Việt Nam,Public,55000,8 posts a day,Car
1195,277277372816398,HỘI TOYOTA CAMRY VIETNAM(CamryClubVN),Public,75000,4 posts a day,Car
1197,1982532692042741,Hội Toyota Veloz Cross Việt Nam™ (VelozClubVN),Private,62000,10+ posts a day,Car
1199,1639778322899605,Hội Toyota Corolla Altis Việt Nam™ (AltisClubVN),Private,130000,10+ posts a day,Car
1215,594181470757213,"Antidetect Browser Gologin FREE, Automate ios, VIP Tools  For MMO",Private,21000,,Car
1224,336994369834745,Hội Toyota Innova Việt Nam- Mua Bán Trao Đổi Phụ Tùng,Private,17000,10+ posts a day,Car
1267,1960601590982440,VinFast VF7 Club 🇻🇳,Private,41000,9 posts a week,Car
1268,622747899921632,Hội Vinfast VF7 Việt Nam™ (VF7ClubVN),Private,29000,2 posts a week,Car
1269,3335527796666599,Hội Xe Điện Vinfast VF8 Club,Private,111000,10+ posts a day,Car
1270,2099857466701703,Vinfast Việt Nam Club,Public,41000,3 posts a day,Car
1271,684904891691482,VinFast US - EU - Canada - Aus Club,Public,5000,3 posts a day,Car
1272,200255160408658,Vinfast Vietnam Club ☑,Public,45000,3 posts a day,Car
1273,694887155638295,"Hội VinFast VF e34, VFe34 Việt Nam™ (VinFastVFe34ClubVN)",Private,104000,10 posts a day,Car
1274,194427966658796,VinFast VF5 Plus Việt Nam™ (VF5ClubVN),Private,80000,10+ posts a day,Car
1275,311053597777414,"Hội VinFast VF 8, VF8 Việt Nam™ (VinFastVF8ClubVN)",Private,18000,10+ posts a day,Car
1276,308452969707601,Vinfast - Cộng đồng yêu xe Việt,Public,187000,3 posts a day,Car
1277,1328815357853352,"Hội VinFast VF5, VF 5 Việt Nam™ (VinFastVF5ClubVN)",Private,121000,10+ posts a day,Car
1280,4033170496743548,Cộng đồng ô tô điện VinFast Việt Nam,Private,17000,3 posts a week,Car
1281,666689978531526,Hội VinFast VF9 2023 Việt Nam™ (VF9ClubVN),Private,72000,10 posts a day,Car
1282,515931522145765,"Hội VinFast LUX A2.0, LUX SA2.0 Việt Nam™ (VinFastClubVN)",Private,143000,10+ posts a day,Car
1283,919131952623739,Hội VinFast VF9 Việt Nam 2023™ (VinFastVF9ClubVN),Private,55000,10 posts a day,Car
1284,380517419396777,Hội Vinfast Fadil Việt Nam ®️,Public,109000,10+ posts a day,Car
1285,299668085253944,"Hội Volvo XC40, XC60, XC90, S90, V90 Việt Nam™ (VolvoClubVN)",Private,35000,10 posts a day,Car
1286,2307757579346500,"Hội Volvo, Volvo XC60/XC90 Club Việt Namᵀᴹ (VolvoClubVn)",Public,4000,10+ posts a day,Car
1287,197091921603731,"Hội Yêu Xe Volvo XC40, XC60, XC90, S90, V90 Việt Nam (Volvo-ClubATVN)",Private,23000,10 posts a day,Car
1288,1291578827671091,"Hội Volvo XC40, XC60, XC90, S60, S90, V60, V90 Việt Nam™ (Volvo-ClubVN)",Private,21000,10 posts a day,Car
1289,294843724443202,Hội Volvo Việt Nam™  (Volvo-ClubVN),Private,4900,3 posts a week,Car
1290,2400146400257870,"Hội Volvo XC40, XC60, XC90, S90, V90 Việt Nam™ (Volvo-ClubVN 2021+)",Private,2500,9 posts a day,Car
1291,663048827550480,VOLVO CARS VIETNAM OWNER GROUP,Private,4300,8 posts a week,Car
1292,323874484906499,VLCM CLUB,Private,7900,10+ posts a day,Car
1293,3090242197944872,Flex đến hơi thở cuối cùng,Public,1600000,3 posts a day,Car
1299,698275683711184,48 X4 DHXD,Private,30,,Car
1301,844792772546719,"Hội Volkswagen, Volkswagen Tiguan/Touareg Việt Namᵀᴹ ( VolkswagenClubVn)",Public,1100,5 posts a day,Car
1303,994529233934329,Audi owner in Vietnam,Private,22000,8 posts a week,Car
1309,1974333882793472,Mini SaiGon Club,Public,2100,5 posts a week,Car
1310,495984507698903,Hội Anh Em Yêu Thích Xe MAN - MERCEDES - VOLVO - SCANIA,Public,436,4 posts a week,Car
1311,1729176763995920,Chợ SaiGon Sh Club✅,Public,18000,10+ posts a day,Car
1335,297734369158706,VOLVO IN HÀ NỘI,Public,380,8 posts a month,Car
1336,466393224341200,Hội Volvo Việt Nam,Private,2100,4 posts a day,Car
1337,2530984830453057,PHỤ KIỆN VOLVO CARS VIETNAM OWNER GROUP 🇻🇳,Private,1800,10 posts a week,Car
1338,580246445805830,Hội Volvo Việt Nam,Private,4100,2 posts a day,Car
1339,493278859657922,HỘI XE Ô TÔ VOLVO VIỆT NAM ✅,Public,3400,2 posts a day,Car
1343,903743240828874,"Hội Mua Bán Xe Volvo XC60, XC90, XC40, S90, S60, V90…",Private,335,8 posts a week,Car
1344,1973476422804726,Hội những người yêu thích xe Volvo,Public,3500,3 posts a week,Car
1346,657724878220216,Xe Cũ Mercedes-Benz,Private,2800,10 posts a day,Car
1347,1577267715846166,Vựa 2nd - Đồ Cũ - Máy Chơi Game Mọi Thể Loại,Private,83000,10+ posts a day,Car
1367,166814944122166,"VIỆC LÀM QUẢN LÝ KHO, GIÁM SÁT KHO, THỦ KHO, PHỤ KHO, VẬT TƯ, THU MUA",Public,4800,10 posts a day,Car
1379,769486304727108,mua bán fixed gear cũ-mới vn,Public,316,3 posts a month,Car
